amplitudeVariation,kurtosis,max,mean,meanAmplitude,meanFrequency,median,medianFrequency,min,rms,skewness,std,totalPower,variance,zzclassification
111.7535,3.4404,51.376,-0.46177,2.0769,0.044953,-0.88326,0.019931,-64.3523,17.6836,-0.063722,17.6791,312.7114,312.5502,HVS
111.7535,3.4404,51.376,-0.46177,2.0769,0.044953,-0.88326,0.019931,-64.3523,17.6836,-0.063722,17.6791,312.7114,312.5502,HVS
164.5237,3.737,65.5199,-8.532,-5.4577,0.025516,-5.0587,0.0088618,-102.4206,27.0971,-0.59999,25.721,734.2546,661.5692,HVS
197.3005,4.4211,62.9495,-14.4523,-11.9772,0.0142,-6.6825,0.0022683,-137.1974,37.4974,-1.159,34.6033,1406.0561,1197.3879,HVS
209.6389,6.0123,87.4506,0.085299,2.1852,0.024602,-2.529,0.010253,-124.6898,28.3931,-0.081315,28.3953,806.1658,806.2929,HVS
174.1462,5.7619,63.9361,-0.18324,3.1745,0.045527,0.22802,0.031872,-117.9607,22.3061,-0.73169,22.3073,497.5643,497.6136,HVS
174.1462,5.7619,63.9361,-0.18324,3.1745,0.045527,0.22802,0.031872,-117.9607,22.3061,-0.73169,22.3073,497.5643,497.6136,HVS
155.4968,4.5294,77.5124,-0.60015,1.4662,0.052242,-1.2456,0.031985,-86.45,19.416,0.31124,19.4084,376.9825,376.6851,HVS
132.0065,4.2504,74.0697,-0.76713,1.6902,0.051539,-0.63108,0.034692,-95.5677,22.0647,-0.24843,22.0532,486.8499,486.3425,TA
121.6722,3.2226,70.7964,-0.063058,1.7454,0.045462,-0.0071362,0.023847,-54.9581,19.337,0.049161,19.3385,373.9179,373.9762,TA
170.256,3.9027,84.7298,-1.1597,1.0518,0.04282,-2.256,0.018735,-124.5206,26.5959,0.21697,26.5728,707.3394,706.1121,HVS
106.8344,2.707,54.8485,-0.54308,2.3106,0.055341,-1.0039,0.018504,-52.2621,17.6642,0.068108,17.6573,312.0225,311.7795,HVS
215.3697,4.7007,136.0193,-0.42701,2.9922,0.045443,0.12582,0.022391,-102.4533,27.9174,0.17619,27.9165,779.3815,779.3291,TA
170.256,3.9027,84.7298,-1.1597,1.0518,0.04282,-2.256,0.018735,-124.5206,26.5959,0.21697,26.5728,707.3394,706.1121,TA
