kurtosis,mean,meanAmplitude,meanFrequency,median,medianFrequency,skewness,totalPower,variance,zzclassification,meandelta,meanAmplitudedelta,powerdelta,meanAdelta,meanFidelta,meanalpha,meanAmplitudealpha,poweralpha,meanAalpha,meanFialpha,meantheta,meanAmplitudetheta,powertheta,meanAtheta,meanFitheta,meanbeta,meanAmplitudebeta,powerbeta,meanAbeta,meanFibeta,meangamma,meanAmplitudegamma,powergamma,meanAgamma,meanFigamma
4.2189,-0.75757,2.076,0.046477,-0.84461,0.024192,0.19637,9487.2348,231.2968,TA,-0.030965,7.025,8273.346,13.9867,10.8505,0.0062675,4.2088,662.4896,5.0888,16.8326,0.0028804,2.1286,133.2198,2.4701,14.0247,0.0044902,1.4226,74.7249,1.7996,17.3776,0.002754,0.39441,9.4746,0.62959,10.2673
4.7537,-2.5123,-1.0538,0.038804,-3.1752,0.021222,0.1189,12472.5603,300.5557,TA,0.069972,8.2711,10315.6704,17.3434,12.4744,0.0013914,3.6688,444.3316,4.3961,14.1751,-0.00022411,1.9546,108.0658,2.2957,13.1221,-0.00039421,1.5497,111.716,1.9491,19.7588,-0.00045678,0.69259,20.9687,1.0301,16.2162
4.7537,-2.5123,-1.0538,0.038804,-3.1752,0.021222,0.1189,12472.5603,300.5557,TA,0.069972,8.2711,10315.6704,17.3434,12.4744,0.0013914,3.6688,444.3316,4.3961,14.1751,-0.00022411,1.9546,108.0658,2.2957,13.1221,-0.00039421,1.5497,111.716,1.9491,19.7588,-0.00045678,0.69259,20.9687,1.0301,16.2162
4.3393,-3.1762,-1.4248,0.039562,-4.3554,0.019358,0.21421,16120.2689,387.2319,TA,-0.24981,10.7863,12479.0855,21.3629,13.5492,0.010231,3.9692,704.4357,4.8373,15.2147,0.0036215,1.9554,91.7301,2.3518,13.3521,0.0038842,1.5279,65.9169,1.9064,19.3048,0.0020247,0.69683,19.4295,1.0428,16.3734
4.2445,-1.1677,1.5319,0.040425,-2.3931,0.018645,0.51142,20743.8325,505.6613,TA,0.031388,9.9032,15723.9148,21.2526,15.0064,-0.0063455,5.1147,1077.2244,6.2684,20.7661,-0.0036259,2.6987,216.9212,3.1737,17.6391,-0.0048569,1.7091,150.6882,2.2657,22.1603,-0.0028973,0.73869,25.3635,1.0574,17.6432
4.2445,-1.1677,1.5319,0.040425,-2.3931,0.018645,0.51142,20743.8325,505.6613,TA,0.031388,9.9032,15723.9148,21.2526,15.0064,-0.0063455,5.1147,1077.2244,6.2684,20.7661,-0.0036259,2.6987,216.9212,3.1737,17.6391,-0.0048569,1.7091,150.6882,2.2657,22.1603,-0.0028973,0.73869,25.3635,1.0574,17.6432
4.8705,-0.14212,0.83186,0.043593,-1.5557,0.020251,0.68137,21277.9011,519.5538,TA,0.45764,14.2237,9172.146,25.0644,18.9732,-0.017143,5.0407,1282.7908,6.469,20.7854,-0.0040002,2.5376,275.8087,3.0336,16.8897,-0.0040041,1.7904,113.9231,2.3768,23.1757,-0.0026278,0.7743,23.8984,1.1314,18.8801
5.4502,0.081951,2.898,0.059233,-0.27998,0.029273,0.027588,18182.7488,443.9846,TA,0.35603,14.4632,15027.288,27.8662,20.4264,0.00084832,5.4268,1781.5615,6.652,21.5711,-0.000545,3.0662,545.664,3.6632,20.5382,-7.8198e-05,2.2315,193.4755,2.9841,30.3355,-0.00038254,1.0133,41.5949,1.5354,25.3821
5.7192,-0.24079,2.3933,0.045354,-0.13887,0.026977,0.37873,21683.2277,529.4272,TA,0.53741,15.1949,16464.1201,27.9869,20.3865,0.0085635,4.9308,1115.6107,6.2583,20.5746,0.0014646,2.7619,234.7947,3.2597,18.1971,0.0020457,1.8933,148.3662,2.5357,26.3223,0.0010167,0.96514,38.9077,1.457,24.2063
3.2276,0.44173,3.3349,0.045388,1.037,0.022231,-0.27746,16977.096,414.4253,TA,0.29056,13.5908,9106.8673,25.4342,17.1765,0.0068126,5.2071,1080.0487,6.495,21.1594,0.0019911,2.9122,212.3939,3.4044,19.2085,0.00142,1.6798,101.4842,2.2279,21.9742,0.001082,0.59122,15.0613,0.92434,15.2818
