amplitudeVariation,kurtosis,max,mean,meanAmplitude,meanDerivate_1,meanDerivate_2,meanFrequency,median,medianFrequency,min,rms,skewness,std,totalPower,variance,zzclassification,meandelta,meanAmplitudedelta,powerdelta,rmsdelta,meanAdelta,meanFidelta,meanalpha,meanAmplitudealpha,poweralpha,rmsalpha,meanAalpha,meanFialpha,meantheta,meanAmplitudetheta,powertheta,rmstheta,meanAtheta,meanFitheta
144.8163,4.7537,68.5416,-2.5123,-1.0538,-0.25654,0.057922,0.038804,-3.1752,0.021222,-78.0086,17.5162,0.1189,17.3365,306.8173,300.5557,TA,0.069972,-1.0538,306.8173,17.5162,17.3434,12.4744,0.0013914,-1.0538,306.8173,17.5162,4.3961,14.1751,-0.00022411,-1.0538,306.8173,17.5162,2.2957,13.1221
144.8163,4.7537,68.5416,-2.5123,-1.0538,-0.25654,0.057922,0.038804,-3.1752,0.021222,-78.0086,17.5162,0.1189,17.3365,306.8173,300.5557,TA,0.069972,-1.0538,306.8173,17.5162,17.3434,12.4744,0.0013914,-1.0538,306.8173,17.5162,4.3961,14.1751,-0.00022411,-1.0538,306.8173,17.5162,2.2957,13.1221
154.0269,4.3393,83.764,-3.1762,-1.4248,-1.9798,0.054651,0.039562,-4.3554,0.019358,-73.6738,19.9313,0.21421,19.6782,397.2557,387.2319,TA,-0.24981,-1.4248,397.2557,19.9313,21.3629,13.5492,0.010231,-1.4248,397.2557,19.9313,4.8373,15.2147,0.0036215,-1.4248,397.2557,19.9313,2.3518,13.3521
154.4093,4.2445,91.46,-1.1677,1.5319,-0.52702,-0.046645,0.040425,-2.3931,0.018645,-76.6306,22.5153,0.51142,22.4869,506.9406,505.6613,TA,0.031388,1.5319,506.9406,22.5153,21.2526,15.0064,-0.0063455,1.5319,506.9406,22.5153,6.2684,20.7661,-0.0036259,1.5319,506.9406,22.5153,3.1737,17.6391
154.4093,4.2445,91.46,-1.1677,1.5319,-0.52702,-0.046645,0.040425,-2.3931,0.018645,-76.6306,22.5153,0.51142,22.4869,506.9406,505.6613,TA,0.031388,1.5319,506.9406,22.5153,21.2526,15.0064,-0.0063455,1.5319,506.9406,22.5153,6.2684,20.7661,-0.0036259,1.5319,506.9406,22.5153,3.1737,17.6391
167.4069,4.8705,106.2956,-0.14212,0.83186,1.0306,0.0041834,0.043593,-1.5557,0.020251,-62.9681,22.7923,0.68137,22.7937,519.4874,519.5538,TA,0.45764,0.83186,519.4874,22.7923,25.0644,18.9732,-0.017143,0.83186,519.4874,22.7923,6.469,20.7854,-0.0040002,0.83186,519.4874,22.7923,3.0336,16.8897
157.4199,5.4502,89.75,0.081951,2.898,-0.21598,-0.10665,0.059233,-0.27998,0.029273,-129.3372,21.0693,0.027588,21.0709,443.9173,443.9846,TA,0.35603,2.898,443.9173,21.0693,27.8662,20.4264,0.00084832,2.898,443.9173,21.0693,6.652,21.5711,-0.000545,2.898,443.9173,21.0693,3.6632,20.5382
207.1589,5.7192,130.0755,-0.24079,2.3933,-0.85013,-0.03806,0.045354,-0.13887,0.026977,-89.0243,23.0086,0.37873,23.0093,529.3969,529.4272,TA,0.53741,2.3933,529.3969,23.0086,27.9869,20.3865,0.0085635,2.3933,529.3969,23.0086,6.2583,20.5746,0.0014646,2.3933,529.3969,23.0086,3.2597,18.1971
124.7393,3.2276,55.859,0.44173,3.3349,-0.44284,0.094731,0.045388,1.037,0.022231,-70.5611,20.3605,-0.27746,20.3574,414.5513,414.4253,TA,0.29056,3.3349,414.5513,20.3605,25.4342,17.1765,0.0068126,3.3349,414.5513,20.3605,6.495,21.1594,0.0019911,3.3349,414.5513,20.3605,3.4044,19.2085
132.7856,3.2718,68.4834,-1.299,2.0635,0.44953,0.17671,0.049701,-0.3521,0.024546,-70.9123,21.482,-0.046957,21.4445,461.4772,459.8664,TA,0.16669,2.0635,461.4772,21.482,25.4823,18.8829,-0.00021182,2.0635,461.4772,21.482,6.5837,21.3788,0.00061247,2.0635,461.4772,21.482,3.5066,19.2173
192.9654,3.505,95.3097,-2.6367,1.8638,0.85356,0.12716,0.0423,-2.233,0.030589,-99.4245,31.3118,-0.087314,31.2032,980.4311,973.6411,HVS,-0.3639,1.8638,980.4311,31.3118,34.9713,31.747,-0.013427,1.8638,980.4311,31.3118,9.3176,28.192,-0.0050296,1.8638,980.4311,31.3118,3.9166,22.1703
