,kurtosis,mean,meanAmplitude,meanFrequency,median,medianFrequency,skewness,totalPower,variance,zzclassification,meandelta,meanAmplitudedelta,powerdelta,meanAdelta,meanFidelta,meanalpha,meanAmplitudealpha,poweralpha,meanAalpha,meanFialpha,meantheta,meanAmplitudetheta,powertheta,meanAtheta,meanFitheta,meanbeta,meanAmplitudebeta,powerbeta,meanAbeta,meanFibeta,meangamma,meanAmplitudegamma,powergamma,meanAgamma,meanFigamma
40,3.3957,-0.79916,5.4218,0.032207,-1.2953,0.016599,0.22075,55801.1776,1362.1557,HVS,0.1635,21.6986,26437.4111,35.452,29.7299,-0.0037847,7.3265,1540.0281,9.2146,27.9881,-0.0029959,3.1387,227.0284,3.6893,21.0981,-0.00034334,1.8648,116.1495,2.4809,23.8154,-0.00054351,0.51373,14.5252,0.79451,13.185
41,2.5716,-0.11394,4.2088,0.034628,-1.6529,0.022878,0.21753,45555.2228,1112.3652,HVS,0.68365,20.3407,22747.4423,40.0974,29.4362,0.022406,6.8205,1446.5615,8.5957,26.5656,0.0082368,2.7988,203.6961,3.3078,18.9326,0.0064927,1.7738,103.6278,2.3246,22.5636,0.0042084,0.52193,17.2004,0.81264,13.3479
42,3.0907,-0.017705,4.2601,0.019865,-2.3867,0.0054591,0.20215,66724.8545,1629.2961,HVS,0.31722,18.2621,15659.0905,31.7779,24.6653,-0.022446,6.2635,1153.0236,7.8481,24.7963,-0.0075747,2.8917,201.5667,3.4809,19.267,-0.0058029,1.8958,125.0212,2.5007,23.9826,-0.0042067,0.53876,17.3279,0.84242,13.901
43,3.0412,-0.13358,2.2051,0.047631,0.79512,0.018986,-0.30904,15380.7448,375.5578,HVS,-0.047288,9.8547,7786.7819,20.2031,15.1055,-0.0053136,4.7253,611.5458,5.9982,20.2292,-0.0030788,3.3288,256.7198,3.997,22.1713,-0.0017022,2.6446,203.4362,3.3571,33.7939,-0.0003138,0.80825,26.4157,1.2069,19.8474
45,6.1125,-0.082317,1.4114,0.047109,0.039157,0.021541,-0.50666,14727.7414,359.6197,HVS,-0.29352,8.8575,7514.3938,19.6101,13.8741,-0.0015166,4.8111,596.805,5.9418,20.005,-0.004659,3.2179,229.7022,3.8239,21.1339,-0.0026799,2.3419,178.8502,3.1163,31.5665,-0.0012004,0.84775,27.3651,1.2689,20.8525
46,3.8877,1.33,5.7823,0.062952,0.82541,0.033856,-0.14605,12752.4176,310.269,HVS,0.14982,10.9612,8221.7042,20.1808,16.919,-0.0026524,5.0219,749.7141,6.2875,21.2053,0.0012588,3.3729,248.7823,4.0058,23.1878,-0.00030647,2.826,258.3779,3.6634,35.5528,0.00042009,0.6392,16.31,0.95457,15.9316
48,3.5765,-0.79428,2.7158,0.057942,-1.4996,0.025475,0.027846,9364.8279,228.2717,HVS,0.1538,9.1004,4972.5718,16.8757,12.271,0.0033844,4.5974,569.4418,5.6226,19.496,0.00063119,2.8876,184.5045,3.4293,19.599,-0.0003602,2.4465,183.8472,3.1334,31.3329,-9.0783e-05,0.67743,15.8967,0.96231,16.1116
49,3.5282,0.45421,3.9542,0.060418,-0.3037,0.031534,0.33784,10408.8802,254.0347,HVS,0.43034,11.8335,7025.4988,24.6234,14.6177,0.0051993,4.2906,548.7908,5.4619,17.7429,0.0020681,2.773,175.6532,3.2817,18.536,0.0021464,2.701,236.4527,3.432,34.9698,0.0020441,0.71641,20.1848,1.0278,17.1292
50,2.9454,-0.70451,4.7307,0.039177,-0.72004,0.020744,0.14858,26548.5847,647.9522,HVS,0.26905,13.5301,13999.2777,29.2638,22.1612,-0.016178,6.171,1059.4737,7.8788,24.3878,-0.0032747,3.1436,228.3684,3.7083,20.7043,-0.0061568,1.9879,125.7292,2.596,24.7286,-0.003411,0.48526,12.208,0.73543,12.2271
52,2.9559,-2.0465,2.6021,0.043992,-3.984,0.027554,0.40183,29062.2695,706.9914,HVS,-0.35481,15.8522,17841.3171,31.1854,24.5364,0.005055,6.4266,1196.7424,8.0548,25.1478,0.0013449,3.3963,279.8045,4.0249,22.7705,0.0020693,2.1522,154.6499,2.7565,26.5805,0.0012788,0.48247,12.4102,0.74189,12.4241
